task,duration,hours,confidence,interest,severity,years of experience,team size,,,,,
Scalema: Scalema - Personal Queries: Implement Edit and Cancel Options before a Solution is Received,54577084.678000000,12.0,10.0,10.0,1,1.787816563997260,10,,,,,
Boards - Sidebar: Add Pinned Items section on sidebar,58508424.0,4.0,5.0,5.0,1,1.3853524982888400,55,,,,,
Personal Boards: Scroll bar on the bottom of the To Do Column.,12480000.0,12.0,10.0,10.0,1,2.2286105407255300,27,,,,,
Board - Card: Bulk selection option to mark subtasks as done,1874000.0,8.0,9.0,9.0,1,2.2642026009582500,55,,,,,
Boards - Operations Board: Card description and Additional Information are deleted when card is archived,5220000.0,6.0,9.0,9.0,1,2.2642026009582500,45,,,,,
Scalema: Translate QueryFollowUpQuestion Model to FormQuestion Model,17516143.0,13.0,10.0,10.0,1,1.787816563997260,4,,,,,
Scalema: Translate FollowUpQuestionChoice Model to FormChoice Model,8687000.0,4.0,5.0,5.0,1,2.8227241615332000,4,,,,,
Scalema: Add a FormDocument Instance for Scalema,8445000.0,10.0,10.0,10.0,1,1.787816563997260,4,,,,,
Boards - Personal Board: User can not add a subtask to a card that never had subtasks before,7238000.0,16.0,7.0,7.0,1,1.462012320328540,55,,,,,
Boards - Settings: Redirecting to specific Board upon saving board settings.,11460000.0,16.0,100.0,100.0,1,2.2806297056810400,55,,,,,
Personal Board - Cards: Unable to save edited subtask,3752000.0,4.0,5.0,5.0,1,2.2806297056810400,45,,,,,
Scalema - Personal Queries - View Solution: Video should be Displayed and Playable,3960000.0,7.0,9.0,9.0,1,1.78507871321013,23,,,,,
Milestone : Modified feature milestone name creates new milestone option in edit card,10600000.0,12.0,8.0,8.0,1,3.780971937029430,29,,,,,
Feature Milestones - Assessments: Assignee is Not Set when closing estimations done on Board level,4580000.0,8.0,7.0,7.0,1,2.2806297056810400,30,,,,,
Scalema - Negotiations List: Add a Search Bar in Negotiations,4021000.0,1.0,10.0,10.0,1,1.9219712525667400,41,,,,,
Boards - Cards: Moving of cards to Done with pending subtask in List view,10908955.0,12.0,9.0,9.0,1,3.780971937029430,38,,,,,
HR Portal - Employees : Inconsistent Design for List of Schedules,6403937.0,9.0,8.0,10.0,1,1.9164955509924700,41,,,,,
Component Changes: Engagement Form - Form Preview,15720000.0,10.0,10.0,10.0,1,2.2286105407255300,38,,,,,
Component Changes: Engagement Form - Card Preview,388411461.0,4.0,5.0,5.0,1,1.2813141683778200,38,,,,,
Component Changes: Engagement Form - Map Fields to Card,25834000.0,46.0,100.0,100.0,1,1.864476386036960,38,,,,,
Model Changes: Card Mapping,14141000.0,10.0,7.0,8.0,1,1.2813141683778200,38,,,,,
